,id,age,bp,sg,al,su,rbc,pc,pcc,ba,bgr,bu,sc,sod,pot,hemo,pcv,wc,rc,htn,dm,cad,appet,pe,ane,classification
id,10608.694549705715,-377.87845682496163,-324.96009030073367,0.38341933403208883,-108.55454325566394,-27.736757236152524,16.172942030154,27.60134644843989,-13.004998790615176,-9.140772393775702,-3004.276787873903,-2547.6025558332676,-165.95213254857694,427.0267677174877,-48.76803999032491,205.95403531403693,668.528299604935,-98587.90615173757,65.89040957832779,-31.58356849149398,-24.3029912118036,-10.721398048859148,18.261106183987756,-18.151818108522132,-14.085785697008786,-38.574498105297096
age,-377.87845682496163,240.62972667902932,13.818431024752075,-0.023654357816657205,5.554301378698703,2.6208175441425468,-0.7315971942272033,-1.137990808675321,0.5484963315326941,0.28178666451664935,304.1374667419175,140.15758284286053,9.05741352898492,-11.958477787632013,0.3702733209707333,-10.982633233895033,-33.208135128597924,7427.646537128116,-3.8303676529871806,2.381198097234541,1.9250181407723952,1.0688139966137227,-0.8617673143594292,1.2021285172942031,0.4967346609691204,2.1132387325647035
bp,-324.96009030073367,13.818431024752075,124.88913972426022,-0.012222849310650659,5.093122631621376,2.216399258243989,-1.1279529146174399,-0.7804563412077742,0.6579053454809289,0.5184229621865694,137.96984600499871,167.5247923889381,13.294848020640176,-18.807546561315814,4.965008465693778,-9.094896396033214,-35.97032975892928,289.1235991292434,-2.6034024026445253,1.5431750382971836,0.9336450858663218,0.7353059743610451,-0.5289042973474154,0.4394098202047884,1.052164798838994,1.629444489236474
sg,0.38341933403208883,-0.023654357816657205,-0.012222849310650659,3.0238651939046856e-05,-0.005535354349754106,-0.002005966298476173,0.0008772071273079105,0.0013460453116181568,-0.0007211964847214403,-0.0007546561315810669,-0.19454244940740104,-0.1421240828831733,-0.009530113682173665,0.022209949205837225,-0.001434814157865055,0.010810489397726334,0.03397041038458426,-4.968031927759393,0.003470289446101745,-0.0014694025638958355,-0.0013468515681689976,-0.0005325324518261701,0.0009400951382730004,-0.0011622188180278972,-0.0006877368378618103,-0.0019398532613077427
al,-108.55454325566394,5.554301378698703,5.093122631621376,-0.005535354349754106,1.996936225106815,0.5993711198903464,-0.22067241796339654,-0.4132064823026668,0.20277352253486966,0.1938240748206071,47.547367572361516,44.33395146335566,3.0569136499234055,-6.34306216238008,1.0291381117471556,-3.1962105942110766,-9.978553575747808,1390.0024187696517,-0.9220591792308314,0.46424252197048865,0.36733048456018513,0.135209223574941,-0.2665484157058767,0.2933161331935808,0.243570104007094,0.5841328710795797
su,-27.736757236152524,2.6208175441425468,2.216399258243989,-0.002005966298476173,0.5993711198903464,0.6616141256147688,-0.06651616544384457,-0.10610336208981704,0.041119084092558295,0.08256067080544979,38.56260582117232,12.037974683544302,0.8691445617995642,-1.4772232524389268,0.7689913730549063,-0.9037813432234139,-2.998145609933084,511.223091187616,-0.3131903571716524,0.19358219785535874,0.184148996210593,0.09691203741030349,-0.05853422559058299,0.10150769975006092,0.04426348464081266,0.18543900669192884
rbc,16.172942030154,-0.7315971942272033,-1.1279529146174399,0.0008772071273079105,-0.22067241796339654,-0.06651616544384457,0.10158832540514448,0.061759251793920715,-0.015318874465854993,-0.023139563008949607,-10.221962428444728,-5.71740707893252,-0.4025800209626704,0.8233491897121654,0.021406111424655247,0.41574619043779715,1.2262355881641553,-108.48988148028711,0.12326050149157461,-0.058131097315165546,-0.062484882689671555,-0.023865193904700457,0.04353785374506176,-0.030073369346126,-0.02023703942594523,-0.08344755301136798
pc,27.60134644843989,-1.137990808675321,-0.7804563412077742,0.0013460453116181568,-0.4132064823026668,-0.10610336208981704,0.061759251793920715,0.150810287833588,-0.06643553978876043,-0.049665403531403834,-10.86043699105056,-11.2885189067161,-0.703378214947998,1.513343545916309,-0.23780536966862867,0.8205917923083118,2.538942191405303,-206.35330162057576,0.2640853019430787,-0.10674836733048423,-0.09465451906796796,-0.03809562202692907,0.06695960654680316,-0.07852938805127796,-0.06409739579134055,-0.13444327985164903
pcc,-13.004998790615176,0.5484963315326941,0.6579053454809289,-0.0007211964847214403,0.20277352253486966,0.041119084092558295,-0.015318874465854993,-0.06643553978876043,0.08127066032411531,0.03144400548254423,4.772071273079095,4.955010884463432,0.317576392808191,-1.0119325969523514,-0.030024993953075854,-0.43645085866322664,-1.3875675239861325,130.80706280738536,-0.14512617915020562,0.05087478835765525,0.035152785616383166,0.025638958316536325,-0.040232201886640374,0.03329839554946386,0.04192534064339275,0.0649036523421751
ba,-9.140772393775702,0.28178666451664935,0.5184229621865694,-0.0007546561315810669,0.1938240748206071,0.08256067080544979,-0.023139563008949607,-0.049665403531403834,0.03144400548254423,0.07062807385310019,5.489800854631939,2.586551640732084,0.18749496089655737,-0.44061920503104113,-0.00025800209626702,-0.3143191163428202,-0.9618640651455284,141.3287107957752,-0.09300169313875652,0.034507780375715634,0.037410303958719686,0.020156413770861883,-0.01628638232685638,0.03491090865113266,0.011368217366766041,0.055631702007578644
